VGS,ID,GM
7.10000000e-02,2.14104290e-11,4.93827201e-10
7.20000000e-02,2.19095853e-11,5.06261699e-10
7.30000000e-02,2.24229524e-11,5.20028465e-10
7.40000000e-02,2.29496422e-11,5.33351141e-10
7.50000000e-02,2.34896547e-11,5.46229728e-10
7.60000000e-02,2.40421016e-11,5.59552404e-10
7.70000000e-02,2.46087595e-11,5.74207348e-10
7.80000000e-02,2.51905163e-11,5.88862292e-10
7.90000000e-02,2.57864841e-11,6.03961325e-10
8.00000000e-02,2.63984390e-11,6.19504448e-10
8.10000000e-02,2.70254930e-11,6.35047570e-10
8.20000000e-02,2.76685341e-11,6.50590692e-10
8.30000000e-02,2.83266743e-11,6.67910172e-10
8.40000000e-02,2.90043545e-11,6.85229651e-10
8.50000000e-02,2.96971336e-11,7.02105041e-10
8.60000000e-02,3.04085646e-11,7.20756788e-10
8.70000000e-02,3.11386472e-11,7.38076267e-10
8.80000000e-02,3.18847171e-11,7.56728014e-10
8.90000000e-02,3.26521032e-11,7.77156117e-10
9.00000000e-02,3.34390293e-11,7.96696042e-10
9.10000000e-02,3.42454953e-11,8.16235968e-10
9.20000000e-02,3.50715013e-11,8.37552250e-10
9.30000000e-02,3.59205998e-11,8.59312621e-10
9.40000000e-02,3.67901265e-11,8.81072992e-10
9.50000000e-02,3.76827458e-11,9.03277453e-10
9.60000000e-02,3.85966814e-11,9.25926003e-10
9.70000000e-02,3.95345978e-11,9.49906820e-10
9.80000000e-02,4.04964950e-11,9.73887637e-10
9.90000000e-02,4.14823731e-11,9.98312544e-10
1.00000000e-01,4.24931201e-11,1.02362563e-09
1.01000000e-01,4.35296243e-11,1.04982689e-09
1.02000000e-01,4.45927739e-11,1.07780451e-09
1.03000000e-01,4.56852334e-11,1.10444986e-09
1.04000000e-01,4.68016736e-11,1.13242749e-09
1.05000000e-01,4.79500883e-11,1.16173737e-09
1.06000000e-01,4.91251484e-11,1.19060317e-09
1.07000000e-01,5.03312947e-11,1.22168942e-09
1.08000000e-01,5.15685272e-11,1.25188748e-09
1.09000000e-01,5.28350697e-11,1.28386191e-09
1.10000000e-01,5.41362510e-11,1.31716860e-09
1.11000000e-01,5.54694068e-11,1.35047529e-09
1.12000000e-01,5.68372016e-11,1.38378198e-09
1.13000000e-01,5.82369708e-11,1.41930911e-09
1.14000000e-01,5.96758198e-11,1.45661261e-09
1.15000000e-01,6.11501960e-11,1.49302792e-09
1.16000000e-01,6.26618757e-11,1.53121960e-09
1.17000000e-01,6.42126352e-11,1.57029945e-09
1.18000000e-01,6.58024746e-11,1.60937930e-09
1.19000000e-01,6.74313938e-11,1.65156777e-09
1.20000000e-01,6.91056101e-11,1.69375625e-09
1.21000000e-01,7.08189063e-11,1.73550063e-09
1.22000000e-01,7.25766114e-11,1.78035364e-09
1.23000000e-01,7.43796136e-11,1.82520665e-09
1.24000000e-01,7.62270247e-11,1.87183602e-09
1.25000000e-01,7.81232856e-11,1.92024174e-09
1.26000000e-01,8.00675082e-11,1.96864747e-09
