 2.81838293e+00 -7.72926345e+01  2.81838293e+00 -1.29101000e+00  2.81838293e+00 -7.14971505e+01  2.81838293e+00 -1.66001430e+01  2.81838293e+00 -3.76185646e+01 
 2.88403150e+00 -7.73546659e+01  2.88403150e+00 -1.28823300e+00  2.88403150e+00 -7.15615862e+01  2.88403150e+00 -1.67066700e+01  2.88403150e+00 -3.76871321e+01 
 2.95120923e+00 -7.74194027e+01  2.95120923e+00 -1.28575723e+00  2.95120923e+00 -7.16289979e+01  2.95120923e+00 -1.68147343e+01  2.95120923e+00 -3.77556145e+01 
 3.01995172e+00 -7.74884859e+01  3.01995172e+00 -1.28359982e+00  3.01995172e+00 -7.16937683e+01  3.01995172e+00 -1.69243709e+01  3.01995172e+00 -3.78270761e+01 
 3.09029543e+00 -7.75572773e+01  3.09029543e+00 -1.28169545e+00  3.09029543e+00 -7.17637889e+01  3.09029543e+00 -1.70356120e+01  3.09029543e+00 -3.79008195e+01 
 3.16227766e+00 -7.76292093e+01  3.16227766e+00 -1.28008339e+00  3.16227766e+00 -7.18371268e+01  3.16227766e+00 -1.71484868e+01  3.16227766e+00 -3.79773057e+01 
 3.23593657e+00 -7.77031601e+01  3.23593657e+00 -1.27874311e+00  3.23593657e+00 -7.19092809e+01  3.23593657e+00 -1.72630213e+01  3.23593657e+00 -3.80553935e+01 
 3.31131121e+00 -7.77806006e+01  3.31131121e+00 -1.27768980e+00  3.31131121e+00 -7.19873874e+01  3.31131121e+00 -1.73792388e+01  3.31131121e+00 -3.81346025e+01 
 3.38844156e+00 -7.78599818e+01  3.38844156e+00 -1.27689575e+00  3.38844156e+00 -7.20646010e+01  3.38844156e+00 -1.74971594e+01  3.38844156e+00 -3.82154708e+01 
 3.46736850e+00 -7.79399941e+01  3.46736850e+00 -1.27633454e+00  3.46736850e+00 -7.21454343e+01  3.46736850e+00 -1.76168002e+01  3.46736850e+00 -3.82989090e+01 
 3.54813389e+00 -7.80233928e+01  3.54813389e+00 -1.27604086e+00  3.54813389e+00 -7.22286547e+01  3.54813389e+00 -1.77381756e+01  3.54813389e+00 -3.83848194e+01 
 3.63078055e+00 -7.81092216e+01  3.63078055e+00 -1.27599424e+00  3.63078055e+00 -7.23148984e+01  3.63078055e+00 -1.78612967e+01  3.63078055e+00 -3.84710395e+01 
 3.71535229e+00 -7.81970635e+01  3.71535229e+00 -1.27618141e+00  3.71535229e+00 -7.24008669e+01  3.71535229e+00 -1.79861719e+01  3.71535229e+00 -3.85609226e+01 
 3.80189396e+00 -7.82876985e+01  3.80189396e+00 -1.27660845e+00  3.80189396e+00 -7.24913304e+01  3.80189396e+00 -1.81128067e+01  3.80189396e+00 -3.86523310e+01 
 3.89045145e+00 -7.83803371e+01  3.89045145e+00 -1.27725565e+00  3.89045145e+00 -7.25834451e+01  3.89045145e+00 -1.82412038e+01  3.89045145e+00 -3.87441905e+01 
 3.98107171e+00 -7.84756979e+01  3.98107171e+00 -1.27812849e+00  3.98107171e+00 -7.26778310e+01  3.98107171e+00 -1.83713632e+01  3.98107171e+00 -3.88405118e+01 
 4.07380278e+00 -7.85720648e+01  4.07380278e+00 -1.27918974e+00  4.07380278e+00 -7.27741602e+01  4.07380278e+00 -1.85032824e+01  4.07380278e+00 -3.89362586e+01 
 4.16869383e+00 -7.86724423e+01  4.16869383e+00 -1.28048636e+00  4.16869383e+00 -7.28723211e+01  4.16869383e+00 -1.86369561e+01  4.16869383e+00 -3.90355689e+01 
