dc,V
3.30000000e-01,-2.29793526e-05
3.31000000e-01,-2.46057357e-05
3.32000000e-01,-2.49702121e-05
3.33000000e-01,-2.69238658e-05
3.34000000e-01,-2.58275863e-05
3.35000000e-01,-2.35677584e-05
3.36000000e-01,-2.87250801e-05
3.37000000e-01,-3.17560351e-05
3.38000000e-01,-2.77034897e-05
3.39000000e-01,-2.86961326e-05
3.40000000e-01,-3.36178649e-05
3.41000000e-01,-3.23588050e-05
3.42000000e-01,-3.02269840e-05
3.43000000e-01,-3.40291830e-05
3.44000000e-01,-3.58442183e-05
3.45000000e-01,-3.49426683e-05
3.46000000e-01,-3.57690988e-05
3.47000000e-01,-3.64557988e-05
3.48000000e-01,-3.86341235e-05
3.49000000e-01,-3.92363435e-05
3.50000000e-01,-4.29222937e-05
3.51000000e-01,-4.48864852e-05
3.52000000e-01,-4.41127344e-05
3.53000000e-01,-4.36130461e-05
3.54000000e-01,-4.31106417e-05
3.55000000e-01,-4.55494717e-05
3.56000000e-01,-4.92000289e-05
3.57000000e-01,-4.98450219e-05
3.58000000e-01,-5.07911628e-05
3.59000000e-01,-5.61115732e-05
3.60000000e-01,-5.37598415e-05
3.61000000e-01,-5.21403898e-05
3.62000000e-01,-5.77751034e-05
3.63000000e-01,-5.98511738e-05
3.64000000e-01,-5.93644942e-05
3.65000000e-01,-6.20599501e-05
3.66000000e-01,-6.30322781e-05
3.67000000e-01,-6.41925921e-05
3.68000000e-01,-6.68245499e-05
3.69000000e-01,-6.93515760e-05
3.70000000e-01,-7.19193989e-05
3.71000000e-01,-7.30562100e-05
3.72000000e-01,-7.43571031e-05
3.73000000e-01,-7.71348656e-05
3.74000000e-01,-7.54332894e-05
3.75000000e-01,-7.85552809e-05
3.76000000e-01,-8.41861403e-05
3.77000000e-01,-8.37855931e-05
3.78000000e-01,-8.68944419e-05
3.79000000e-01,-8.82581226e-05
3.80000000e-01,-9.27379880e-05
3.81000000e-01,-9.40512401e-05
