 5.88843655e+00 -1.89022551e+02  5.88843655e+00 -7.92348795e-02  5.88843655e+00 -1.83275518e+02  5.88843655e+00 -1.51347931e-02  5.88843655e+00 -5.51843260e+01 
 6.02559586e+00 -1.89021403e+02  6.02559586e+00 -8.10735288e-02  6.02559586e+00 -1.83265134e+02  6.02559586e+00 -1.51347935e-02  6.02559586e+00 -5.51843258e+01 
 6.16595002e+00 -1.89020202e+02  6.16595002e+00 -8.29545097e-02  6.16595002e+00 -1.83254288e+02  6.16595002e+00 -1.51347939e-02  6.16595002e+00 -5.51843256e+01 
 6.30957344e+00 -1.89018944e+02  6.30957344e+00 -8.48787733e-02  6.30957344e+00 -1.83242958e+02  6.30957344e+00 -1.51347943e-02  6.30957344e+00 -5.51843253e+01 
 6.45654229e+00 -1.89017627e+02  6.45654229e+00 -8.68472901e-02  6.45654229e+00 -1.83231127e+02  6.45654229e+00 -1.51347947e-02  6.45654229e+00 -5.51843251e+01 
 6.60693448e+00 -1.89016249e+02  6.60693448e+00 -8.88610505e-02  6.60693448e+00 -1.83218772e+02  6.60693448e+00 -1.51347952e-02  6.60693448e+00 -5.51843248e+01 
 6.76082975e+00 -1.89014807e+02  6.76082975e+00 -9.09210652e-02  6.76082975e+00 -1.83205873e+02  6.76082975e+00 -1.51347957e-02  6.76082975e+00 -5.51843245e+01 
 6.91830971e+00 -1.89013297e+02  6.91830971e+00 -9.30283655e-02  6.91830971e+00 -1.83192406e+02  6.91830971e+00 -1.51347961e-02  6.91830971e+00 -5.51843243e+01 
 7.07945784e+00 -1.89011716e+02  7.07945784e+00 -9.51840034e-02  7.07945784e+00 -1.83178350e+02  7.07945784e+00 -1.51347966e-02  7.07945784e+00 -5.51843240e+01 
 7.24435960e+00 -1.89010061e+02  7.24435960e+00 -9.73890520e-02  7.24435960e+00 -1.83163679e+02  7.24435960e+00 -1.51347971e-02  7.24435960e+00 -5.51843237e+01 
 7.41310241e+00 -1.89008330e+02  7.41310241e+00 -9.96446055e-02  7.41310241e+00 -1.83148370e+02  7.41310241e+00 -1.51347977e-02  7.41310241e+00 -5.51843234e+01 
 7.58577575e+00 -1.89006517e+02  7.58577575e+00 -1.01951780e-01  7.58577575e+00 -1.83132397e+02  7.58577575e+00 -1.51347982e-02  7.58577575e+00 -5.51843231e+01 
 7.76247117e+00 -1.89004620e+02  7.76247117e+00 -1.04311713e-01  7.76247117e+00 -1.83115733e+02  7.76247117e+00 -1.51347988e-02  7.76247117e+00 -5.51843227e+01 
 7.94328235e+00 -1.89002634e+02  7.94328235e+00 -1.06725563e-01  7.94328235e+00 -1.83098353e+02  7.94328235e+00 -1.51347994e-02  7.94328235e+00 -5.51843224e+01 
 8.12830516e+00 -1.89000556e+02  8.12830516e+00 -1.09194514e-01  8.12830516e+00 -1.83080227e+02  8.12830516e+00 -1.51348000e-02  8.12830516e+00 -5.51843221e+01 
 8.31763771e+00 -1.88998381e+02  8.31763771e+00 -1.11719768e-01  8.31763771e+00 -1.83061328e+02  8.31763771e+00 -1.51348006e-02  8.31763771e+00 -5.51843217e+01 
 8.51138038e+00 -1.88996104e+02  8.51138038e+00 -1.14302552e-01  8.51138038e+00 -1.83041626e+02  8.51138038e+00 -1.51348012e-02  8.51138038e+00 -5.51843213e+01 
 8.70963590e+00 -1.88993722e+02  8.70963590e+00 -1.16944116e-01  8.70963590e+00 -1.83021090e+02  8.70963590e+00 -1.51348019e-02  8.70963590e+00 -5.51843210e+01 
 8.91250938e+00 -1.88991229e+02  8.91250938e+00 -1.19645732e-01  8.91250938e+00 -1.82999690e+02  8.91250938e+00 -1.51348026e-02  8.91250938e+00 -5.51843206e+01 
 9.12010839e+00 -1.88988619e+02  9.12010839e+00 -1.22408694e-01  9.12010839e+00 -1.82977394e+02  9.12010839e+00 -1.51348033e-02  9.12010839e+00 -5.51843202e+01 
 9.33254301e+00 -1.88985889e+02  9.33254301e+00 -1.25234320e-01  9.33254301e+00 -1.82954168e+02  9.33254301e+00 -1.51348040e-02  9.33254301e+00 -5.51843198e+01 
 9.54992586e+00 -1.88983032e+02  9.54992586e+00 -1.28123952e-01  9.54992586e+00 -1.82929981e+02  9.54992586e+00 -1.51348047e-02  9.54992586e+00 -5.51843193e+01 
 9.77237221e+00 -1.88980042e+02  9.77237221e+00 -1.31078953e-01  9.77237221e+00 -1.82904796e+02  9.77237221e+00 -1.51348055e-02  9.77237221e+00 -5.51843189e+01 
 1.00000000e+01 -1.88976914e+02  1.00000000e+01 -1.34100709e-01  1.00000000e+01 -1.82878580e+02  1.00000000e+01 -1.51348063e-02  1.00000000e+01 -5.51843185e+01 
 1.02329299e+01 -1.88973640e+02  1.02329299e+01 -1.37190632e-01  1.02329299e+01 -1.82851297e+02  1.02329299e+01 -1.51348070e-02  1.02329299e+01 -5.51843180e+01 
 1.04712855e+01 -1.88970216e+02  1.04712855e+01 -1.40350152e-01  1.04712855e+01 -1.82822910e+02  1.04712855e+01 -1.51348078e-02  1.04712855e+01 -5.51843176e+01 
 1.07151931e+01 -1.88966632e+02  1.07151931e+01 -1.43580727e-01  1.07151931e+01 -1.82793382e+02  1.07151931e+01 -1.51348087e-02  1.07151931e+01 -5.51843171e+01 
 1.09647820e+01 -1.88962883e+02  1.09647820e+01 -1.46883832e-01  1.09647820e+01 -1.82762676e+02  1.09647820e+01 -1.51348095e-02  1.09647820e+01 -5.51843166e+01 
 1.12201845e+01 -1.88958961e+02  1.12201845e+01 -1.50260970e-01  1.12201845e+01 -1.82730754e+02  1.12201845e+01 -1.51348104e-02  1.12201845e+01 -5.51843161e+01 
